individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R1262106,620_120524,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.7,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1236313,561_120517,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1220651,154_120423,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.7,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1218460,508_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1214999,142_120419,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.7,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1213305,631_120524,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1173111,513_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.5,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1158585,51_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1154454,531_120516,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1141019,381_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.4,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1133844,149_120419,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.7,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1105988,543_120516,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1103580,134_120419,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1074668,557_120517,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.9,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1073074,122_120418,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.6,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1042566,675_120604,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.8,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1042011,516_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1039781,173_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
