Gene,Gene_name,In_OMIM,In_OpenTargets_Platform,OpenTargets_score,OpenTargets_sources,In_ClinVar,In_SZDB,Databases
UBQLN1,ubiquilin 1,N,Y,0.023027363007191447,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UFM1,ubiquitin fold modifier 1,N,Y,0.30465840951900797,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UGGT2,UDP-glucose glycoprotein glucosyltransferase 2,N,Y,0.3080081087530997,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
ULK4,unc-51 like kinase 4,Y,N,0.03293722687352947,europepmc,Y,N,OMIM|ClinVar
UNC5C,unc-5 netrin receptor C,N,Y,0.02947964420706085,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UNC5D,unc-5 netrin receptor D,N,Y,0.0777065597135098,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UQCC5,ubiquinol-cytochrome c reductase complex assembly factor 5,N,Y,0.0801854357723141,gwas_credible_sets,N,N,OpenTargets_Platform
URI1,URI1 prefoldin like chaperone,N,Y,0.027232668597712093,gwas_credible_sets,N,N,OpenTargets_Platform
USP14,ubiquitin specific peptidase 14,Y,N,,,N,N,OMIM
USP19,ubiquitin specific peptidase 19,N,Y,0.027176477384507448,gwas_credible_sets,N,N,OpenTargets_Platform
USP30,ubiquitin specific peptidase 30,N,Y,0.3225864767868736,gwas_credible_sets,N,N,OpenTargets_Platform
USP43,ubiquitin specific peptidase 43,N,Y,0.024787613417206877,gwas_credible_sets,N,N,OpenTargets_Platform
UTRN,utrophin,N,Y,0.3857666935906115,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
VASN,vasorin,N,Y,0.10960470154565433,gwas_credible_sets,N,N,OpenTargets_Platform
VDR,vitamin D receptor,N,Y,0.26543733426265637,clinical_precedence|europepmc,N,N,OpenTargets_Platform
VEGFA,vascular endothelial growth factor A,N,Y,0.07433643661862158,europepmc|gwas_credible_sets,N,N,OpenTargets_Platform
VGLL4,vestigial like family member 4,N,N,0.0036957985468470188,europepmc,Y,N,ClinVar
VILL,villin like,N,Y,0.040926917348191795,gwas_credible_sets,N,N,OpenTargets_Platform
VIP,vasoactive intestinal peptide,N,Y,0.021306860647250035,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
VIPR2,vasoactive intestinal peptide receptor 2,Y,N,0.04379997429484094,europepmc,Y,N,OMIM|ClinVar
VPS13B,vacuolar protein sorting 13 homolog B,N,N,0.008572199407270168,europepmc,Y,N,ClinVar
VPS13C,vacuolar protein sorting 13 homolog C,N,Y,0.13192451055141183,gwas_credible_sets,N,N,OpenTargets_Platform
VPS29,VPS29 retromer complex component,N,Y,0.05835239973226155,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
VPS35,VPS35 retromer complex component,Y,N,0.0036957985468470188,europepmc,N,N,OMIM
VPS37A,VPS37A subunit of ESCRT-I,N,Y,0.06771675429630496,gwas_credible_sets,N,N,OpenTargets_Platform
VPS45,vacuolar protein sorting 45 homolog,N,Y,0.09681717281925548,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
VRK2,VRK serine/threonine kinase 2,N,Y,0.47755450588808096,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
VSIG2,V-set and immunoglobulin domain containing 2,N,Y,0.45756769850036544,gwas_credible_sets,N,N,OpenTargets_Platform
VTI1A,vesicle transport through interaction with t-SNAREs 1A,N,Y,0.02864675382525376,gwas_credible_sets,N,N,OpenTargets_Platform
VWC2L,von Willebrand factor C domain containing 2 like,N,Y,0.0948212130551555,gwas_credible_sets,N,N,OpenTargets_Platform
WARS1,tryptophanyl-tRNA synthetase 1,N,Y,0.11087395640541053,eva,Y,N,OpenTargets_Platform|ClinVar
WBP1L,WW domain binding protein 1 like,N,Y,0.332433577203275,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
WBP2NL,WBP2 N-terminal like,N,Y,0.13468819970455997,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
WDR17,WD repeat domain 17,N,Y,0.31476297706480183,gwas_credible_sets,N,N,OpenTargets_Platform
WDR55,WD repeat domain 55,N,Y,0.03328876725744921,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
WDR6,WD repeat domain 6,N,Y,0.021491952772156757,gwas_credible_sets,N,N,OpenTargets_Platform
WDR7,WD repeat domain 7,N,Y,0.09601491396212256,gwas_credible_sets,N,N,OpenTargets_Platform
WDR70,WD repeat domain 70,N,Y,0.01862865721082149,gwas_credible_sets,N,N,OpenTargets_Platform
WDR73,WD repeat domain 73,N,Y,0.0879235259319669,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
WDR76,WD repeat domain 76,N,Y,0.026139641646419087,gwas_credible_sets,N,N,OpenTargets_Platform
WDR82,WD repeat domain 82,N,Y,0.030966809571059375,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
WFS1,wolframin ER transmembrane glycoprotein,Y,N,0.012464491243524552,europepmc,N,N,OMIM
WNT4,Wnt family member 4,N,Y,0.17376499357190564,gwas_credible_sets,N,N,OpenTargets_Platform
WSCD2,WSC domain containing 2,N,Y,0.4961546062883277,gwas_credible_sets|impc,N,N,OpenTargets_Platform
